Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,model,trial_id,fold,dataset,random_seed,base_seed,max_depth,actual_depth,n_leaves,failed,train_acc,val_acc,test_acc,elapsed_time
0,0,0,0,0,0,1,CART,114,2,raisin,156,42,2,2,4,0,0.866667,0.833333,0.877778,0.001434
3,3,3,3,3,6,7,CART,65,1,raisin,107,42,4,2,4,0,0.865079,0.833333,0.861111,0.001979
6,6,6,7,7,12,18,CART,150,2,raisin,192,42,2,2,4,0,0.866667,0.833333,0.877778,0.001471
7,7,7,9,9,15,22,CART,183,1,raisin,225,42,6,6,16,0,0.869841,0.855556,0.861111,0.002704
10,10,10,14,14,21,31,CART,165,0,raisin,207,42,6,4,8,0,0.901587,0.855556,0.838889,0.002502
12,12,12,18,18,29,41,CART,103,4,raisin,145,42,6,6,24,0,0.906349,0.866667,0.833333,0.003191
13,13,13,19,19,30,43,CART,112,1,raisin,154,42,3,2,4,0,0.868254,0.833333,0.866667,0.002052
14,14,14,21,21,32,45,CART,41,4,raisin,83,42,5,5,18,0,0.888889,0.822222,0.838889,0.002839
15,15,15,23,23,34,47,CART,158,0,raisin,200,42,2,2,4,0,0.871429,0.877778,0.833333,0.00161
17,17,17,27,27,38,52,CART,20,0,raisin,62,42,5,3,6,0,0.87619,0.844444,0.838889,0.002861
18,18,18,28,28,39,53,CART,23,2,raisin,65,42,3,3,6,0,0.868254,0.822222,0.872222,0.001893
20,20,20,30,30,43,61,CART,167,1,raisin,209,42,5,5,13,0,0.87619,0.844444,0.861111,0.002576
23,23,23,38,38,58,79,CART,18,1,raisin,60,42,2,2,4,0,0.868254,0.833333,0.866667,0.001687
25,25,25,41,41,61,84,CART,86,4,raisin,128,42,4,4,9,0,0.874603,0.9,0.861111,0.002282
28,28,28,46,46,68,92,CART,174,3,raisin,216,42,3,3,7,0,0.879365,0.877778,0.866667,0.002033
29,29,29,48,48,70,95,CART,136,1,raisin,178,42,2,2,4,0,0.868254,0.833333,0.866667,0.001396
30,30,30,49,49,71,97,CART,34,4,raisin,76,42,5,5,8,0,0.879365,0.888889,0.844444,0.002527
33,33,33,54,54,76,104,CART,50,2,raisin,92,42,3,3,7,0,0.866667,0.833333,0.877778,0.001994
35,35,35,57,57,81,110,CART,191,2,raisin,233,42,2,2,4,0,0.866667,0.833333,0.877778,0.001749
36,36,36,58,58,82,111,CART,198,3,raisin,240,42,3,3,8,0,0.868254,0.877778,0.866667,0.002239
37,37,37,59,59,83,112,CART,65,0,raisin,107,42,4,4,6,0,0.871429,0.877778,0.833333,0.002733
38,38,38,60,60,84,113,CART,199,3,raisin,241,42,5,5,13,0,0.880952,0.911111,0.838889,0.003268
39,39,39,62,62,88,118,CART,179,0,raisin,221,42,6,6,17,0,0.885714,0.855556,0.844444,0.002361
40,40,40,64,64,90,120,CART,12,4,raisin,54,42,2,2,4,0,0.866667,0.888889,0.85,0.001802
41,41,41,65,65,91,121,CART,101,4,raisin,143,42,4,4,7,0,0.87619,0.9,0.855556,0.001811
43,43,43,67,67,94,125,CART,174,0,raisin,216,42,3,3,8,0,0.871429,0.877778,0.833333,0.001992
44,44,44,69,69,96,127,CART,155,3,raisin,197,42,5,3,5,0,0.860317,0.877778,0.866667,0.002112
45,45,45,71,71,98,129,CART,39,4,raisin,81,42,6,6,28,0,0.928571,0.844444,0.85,0.002779
46,46,46,72,72,102,135,CART,139,1,raisin,181,42,4,4,6,0,0.866667,0.844444,0.866667,0.002162
48,48,48,78,78,111,147,CART,117,3,raisin,159,42,3,3,8,0,0.860317,0.877778,0.866667,0.001925
49,49,49,80,80,113,149,CART,90,1,raisin,132,42,5,5,14,0,0.887302,0.855556,0.866667,0.003248
51,51,51,82,82,115,153,CART,187,1,raisin,229,42,2,2,4,0,0.868254,0.833333,0.866667,0.001359
55,55,55,87,87,121,160,CART,98,0,raisin,140,42,5,5,8,0,0.88254,0.888889,0.838889,0.0023
56,56,56,88,88,123,163,CART,175,3,raisin,217,42,5,3,5,0,0.860317,0.877778,0.866667,0.002114
57,57,57,90,90,125,165,CART,74,4,raisin,116,42,6,2,4,0,0.866667,0.888889,0.85,0.001952
60,60,60,95,95,132,175,CART,17,2,raisin,59,42,2,2,4,0,0.866667,0.833333,0.877778,0.001573
62,62,62,98,98,135,179,CART,72,2,raisin,114,42,4,4,9,0,0.866667,0.833333,0.877778,0.001928
66,66,66,102,102,140,185,CART,33,2,raisin,75,42,5,5,9,0,0.885714,0.822222,0.9,0.003106
67,67,67,104,104,143,190,CART,59,1,raisin,101,42,5,5,10,0,0.873016,0.844444,0.866667,0.002003
68,68,68,106,106,145,192,CART,77,1,raisin,119,42,6,2,4,0,0.868254,0.833333,0.866667,0.001839
70,70,70,109,109,148,197,CART,168,0,raisin,210,42,4,3,6,0,0.874603,0.844444,0.833333,0.001888
71,71,71,110,110,149,199,CART,95,3,raisin,137,42,4,2,4,0,0.871429,0.877778,0.866667,0.002481
73,73,73,112,112,151,201,CART,166,3,raisin,208,42,3,3,5,0,0.860317,0.877778,0.866667,0.002037
