id,command,script,dataset,fold,trial-id,home-dir
17001,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,0,1,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17002,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,1,1,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17003,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,2,1,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17004,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,3,1,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17005,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,4,1,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17006,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,0,2,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17007,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,1,2,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17008,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,2,2,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17009,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,3,2,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17010,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,4,2,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17011,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,0,3,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17012,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,1,3,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17013,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,2,3,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17014,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,3,3,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17015,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,4,3,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17016,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,0,4,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17017,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,1,4,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17018,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,2,4,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17019,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,3,4,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17020,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,4,4,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17021,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,0,5,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17022,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,1,5,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
17023,python,/home/upadhyan/scratch/SagiXGBoostTreeApproximator/tests/shapefbt_run_new.py,avila,2,5,/home/upadhyan/scratch/SagiXGBoostTreeApproximator
