model,dataset,trial_id,fold,n_estimators,max_depth,train_acc,val_acc,test_acc,generalization_gap,elapsed_time,source_file
FBT,bidding,0,0,80,5,0.963156,0.968354,0.960474,0.002682,7.805923,fbt_capability_bidding_n80_d5_trial_0_fold_0.json
FBT,bidding,0,0,80,4,0.963382,0.968354,0.961265,0.002117,8.06411,fbt_capability_bidding_n80_d4_trial_0_fold_0.json
FBT,bidding,0,0,80,3,0.963608,0.968354,0.961265,0.002343,5.825448,fbt_capability_bidding_n80_d3_trial_0_fold_0.json
FBT,bidding,0,0,40,3,0.962251,0.96519,0.958103,0.004148,2.781756,fbt_capability_bidding_n40_d3_trial_0_fold_0.json
FBT,bidding,0,0,40,4,0.962703,0.968354,0.960474,0.002229,3.727098,fbt_capability_bidding_n40_d4_trial_0_fold_0.json
FBT,bidding,0,0,40,5,0.963156,0.968354,0.960474,0.002682,4.353215,fbt_capability_bidding_n40_d5_trial_0_fold_0.json
FBT,bidding,0,0,60,3,0.962477,0.968354,0.958103,0.004374,3.904915,fbt_capability_bidding_n60_d3_trial_0_fold_0.json
FBT,bidding,0,0,100,4,0.96406,0.968354,0.961265,0.002795,8.832546,fbt_capability_bidding_n100_d4_trial_0_fold_0.json
FBT,bidding,0,0,20,4,0.962251,0.96519,0.958103,0.004148,1.952044,fbt_capability_bidding_n20_d4_trial_0_fold_0.json
FBT,bidding,0,0,20,5,0.963382,0.968354,0.960474,0.002908,2.448863,fbt_capability_bidding_n20_d5_trial_0_fold_0.json
FBT,bidding,0,0,100,5,0.963156,0.968354,0.960474,0.002682,9.052127,fbt_capability_bidding_n100_d5_trial_0_fold_0.json
FBT,bidding,0,0,100,3,0.96406,0.968354,0.961265,0.002795,6.628095,fbt_capability_bidding_n100_d3_trial_0_fold_0.json
FBT,bidding,0,0,20,3,0.962251,0.96519,0.958103,0.004148,1.441068,fbt_capability_bidding_n20_d3_trial_0_fold_0.json
FBT,bidding,0,0,60,5,0.963156,0.968354,0.960474,0.002682,6.05596,fbt_capability_bidding_n60_d5_trial_0_fold_0.json
FBT,bidding,0,0,60,4,0.963156,0.968354,0.960474,0.002682,5.629041,fbt_capability_bidding_n60_d4_trial_0_fold_0.json
FBT,bidding,0,0,10,3,0.962251,0.96519,0.958103,0.004148,0.913334,fbt_capability_bidding_n10_d3_trial_0_fold_0.json
FBT,bidding,0,0,10,4,0.963156,0.968354,0.960474,0.002682,1.250602,fbt_capability_bidding_n10_d4_trial_0_fold_0.json
FBT,bidding,0,0,10,5,0.963382,0.968354,0.961265,0.002117,1.459828,fbt_capability_bidding_n10_d5_trial_0_fold_0.json
FBT,bidding,0,1,80,3,0.992993,0.992089,0.994466,-0.001473,5.486203,fbt_capability_bidding_n80_d3_trial_0_fold_1.json
FBT,bidding,0,1,80,4,0.992767,0.995253,0.995257,-0.00249,8.353785,fbt_capability_bidding_n80_d4_trial_0_fold_1.json
FBT,bidding,0,1,80,5,0.992767,0.993671,0.995257,-0.00249,7.815015,fbt_capability_bidding_n80_d5_trial_0_fold_1.json
FBT,bidding,0,1,40,5,0.993897,0.995253,0.996838,-0.002941,4.176765,fbt_capability_bidding_n40_d5_trial_0_fold_1.json
FBT,bidding,0,1,40,4,0.992315,0.992089,0.995257,-0.002942,3.914575,fbt_capability_bidding_n40_d4_trial_0_fold_1.json
FBT,bidding,0,1,40,3,0.97491,0.977848,0.982609,-0.007699,2.638284,fbt_capability_bidding_n40_d3_trial_0_fold_1.json
FBT,bidding,0,1,60,4,0.993219,0.992089,0.995257,-0.002038,5.454155,fbt_capability_bidding_n60_d4_trial_0_fold_1.json
FBT,bidding,0,1,60,5,0.992993,0.992089,0.995257,-0.002264,6.366483,fbt_capability_bidding_n60_d5_trial_0_fold_1.json
FBT,bidding,0,1,20,3,0.970841,0.971519,0.980237,-0.009396,1.532032,fbt_capability_bidding_n20_d3_trial_0_fold_1.json
FBT,bidding,0,1,100,3,0.992993,0.992089,0.994466,-0.001473,6.8525,fbt_capability_bidding_n100_d3_trial_0_fold_1.json
FBT,bidding,0,1,100,5,0.992767,0.993671,0.995257,-0.00249,9.897227,fbt_capability_bidding_n100_d5_trial_0_fold_1.json
FBT,bidding,0,1,20,5,0.992541,0.990506,0.994466,-0.001925,2.608646,fbt_capability_bidding_n20_d5_trial_0_fold_1.json
FBT,bidding,0,1,20,4,0.978526,0.982595,0.986561,-0.008035,2.030716,fbt_capability_bidding_n20_d4_trial_0_fold_1.json
FBT,bidding,0,1,100,4,0.992993,0.993671,0.995257,-0.002264,10.063395,fbt_capability_bidding_n100_d4_trial_0_fold_1.json
FBT,bidding,0,1,60,3,0.981691,0.981013,0.988142,-0.006451,4.099999,fbt_capability_bidding_n60_d3_trial_0_fold_1.json
FBT,bidding,0,1,10,5,0.979656,0.981013,0.986561,-0.006905,1.664695,fbt_capability_bidding_n10_d5_trial_0_fold_1.json
FBT,bidding,0,1,10,4,0.979204,0.97943,0.986561,-0.007357,1.299549,fbt_capability_bidding_n10_d4_trial_0_fold_1.json
