model,dataset,n_estimators,max_depth,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,generalization_gap_mean,generalization_gap_std
FBT,bidding,10,3,0.9737794,0.007953523294741806,0.9743672,0.00616890003971533,0.9718576000000001,0.008971439895579716,0.0019218,0.006554559725870227
FBT,bidding,10,4,0.9769439999999999,0.00781699619419123,0.9775316000000001,0.005638975376786102,0.9748616,0.009509194566313167,0.0020824,0.005796480164720655
FBT,bidding,10,5,0.9778482000000001,0.008192015606674553,0.9787974,0.006768809223194268,0.9758102000000001,0.009313150202804623,0.0020380000000000003,0.005671397623161331
FBT,bidding,20,3,0.9710668,0.00513475668362197,0.9715187999999999,0.005365633951361207,0.9701185999999999,0.008184634066346501,0.0009482000000000001,0.006304421400890013
FBT,bidding,20,4,0.9760398,0.00806511498368126,0.9768988000000001,0.006951200306421875,0.973755,0.010433394629745409,0.0022847999999999996,0.006165157881190067
FBT,bidding,20,5,0.9799277999999999,0.010589358512204638,0.9797468,0.008175997657778517,0.9767588,0.012305042450150221,0.0031689999999999995,0.003714558116384774
FBT,bidding,40,3,0.9733726,0.0070082094931586915,0.974367,0.0071115072945192245,0.9716998,0.008827621265097377,0.0016727999999999997,0.006119053823917551
FBT,bidding,40,4,0.9786166,0.010627281886729076,0.9800634,0.008709995539608474,0.9770752,0.012499218683581738,0.0015414,0.0028139972103753052
FBT,bidding,40,5,0.979114,0.010957078830600778,0.9791138,0.011266610879053205,0.9778656,0.013121247856053939,0.0012483999999999998,0.004471654201746822
FBT,bidding,60,3,0.978029,0.008755302164974122,0.9787974,0.0062896086762214,0.9754942,0.011024570454217232,0.0025348,0.005481549388630919
FBT,bidding,60,4,0.9797018,0.010814896518228898,0.9810126,0.009020585585204506,0.978656,0.01243660052023858,0.0010458,0.003345812935595773
FBT,bidding,60,5,0.9754522,0.015349643699447869,0.9737342,0.015607634852853257,0.9724902,0.015322536366411378,0.0029620000000000002,0.004672168447305812
FBT,bidding,80,3,0.9805607999999999,0.01063699488577483,0.9797468,0.009320976139868584,0.9781818,0.011799384250883557,0.002379,0.0025146790053603265
FBT,bidding,80,4,0.9793402,0.010543678423586339,0.9797466,0.011486654617424513,0.97834,0.012203075923716892,0.0010002000000000001,0.003918751867623159
FBT,bidding,80,5,0.9753166,0.015629811300844267,0.9749998,0.015027800244879494,0.9728064,0.017070321871599223,0.0025101999999999998,0.0033039231528593396
FBT,bidding,100,3,0.9796566,0.010360886511298118,0.9803796,0.009533409872653085,0.9788143999999999,0.01198072471931472,0.0008422000000000002,0.0034877905183654597
FBT,bidding,100,4,0.9801086,0.010463919595447936,0.9794302,0.012153720693680582,0.9786564,0.012246550853199395,0.0014522,0.004505536338772555
FBT,bidding,100,5,0.9762207999999999,0.014711028998679872,0.9753164,0.014570832278905701,0.9737548,0.01650085690805173,0.002466,0.0030482835334003956
FBT,magic,10,3,0.7946384,0.001108455817793358,0.7874344,0.0025032867993899695,0.7886398,0.010246440123281839,0.005998600000000001,0.010376294295171085
FBT,magic,10,4,0.8033110000000001,0.005173702204418016,0.7919224,0.009362835216962889,0.7957398,0.011726991310647385,0.0075712,0.010252382171963744
FBT,magic,10,5,0.7926518,0.01377912568706741,0.7847418,0.014293385435228442,0.7849776,0.015228795661509188,0.007674200000000001,0.010306416190897784
FBT,magic,20,3,0.7942756,0.010734930940625588,0.7838444,0.007056140892867724,0.787967,0.014616208212118526,0.0063086,0.010257615575756385
FBT,magic,20,4,0.7934424,0.007116280791256085,0.7817502000000001,0.005556935729338596,0.7857998,0.012380921702361252,0.007642599999999999,0.008849143732587916
FBT,magic,20,5,0.7813950000000001,0.029549914661467336,0.7732236,0.027801945944483805,0.7730192,0.02598528456068932,0.0083758,0.010908470387730813
FBT,magic,40,3,0.8058316,0.008603970786793721,0.7940166000000001,0.011606467520309511,0.7995514,0.009163496947126657,0.0062802,0.009263632262779
FBT,magic,40,4,0.798932,0.009860860434059501,0.78549,0.013570534127292144,0.791181,0.010481493810521492,0.007750999999999999,0.008983718244691337
FBT,magic,40,5,0.794959,0.008079433334089735,0.7793568000000001,0.007347577845793804,0.7846038,0.0072296530483834075,0.0103552,0.009557154110926537
FBT,magic,60,3,0.8072412,0.004366900182051332,0.7968584,0.003199399287366293,0.8006726000000001,0.006011980148004482,0.006568599999999999,0.009181710968005907
FBT,magic,60,4,0.8039734,0.005865822133341596,0.7880328000000001,0.011797818175408552,0.7923020000000001,0.008962580348314928,0.0116714,0.004351619618027292
FBT,magic,60,5,0.7976928,0.010692765577716578,0.7833956,0.010638427529480137,0.7886396,0.0050937002071186005,0.0090532,0.011678183150644623
FBT,magic,80,3,0.8057886,0.012472758868830964,0.7850412,0.016263391027088982,0.8,0.011528296730219921,0.0057886,0.008273604794767514
FBT,magic,80,4,0.8014524,0.00876732326882043,0.7808526,0.012559954351031678,0.791704,0.0070538319018814515,0.0097484,0.009136950382923179
FBT,magic,80,5,0.8002990000000001,0.004156166382617559,0.7874348,0.00899727896088592,0.7930494,0.00930669258114829,0.0072496,0.011511087841728948
FBT,magic,100,3,0.8047848,0.012812215448547552,0.7811518000000001,0.012067254086990902,0.7984306,0.008884987355083845,0.0063542,0.00779162413749534
FBT,magic,100,4,0.8044857999999999,0.011155025221845038,0.7881824,0.005874854662032072,0.7928252,0.008738207350481022,0.0116606,0.009133072829009959
FBT,magic,100,5,0.7997438,0.006077032063433589,0.786836,0.010877505987127762,0.7915548,0.0057188558471079004,0.008188999999999998,0.010648804275598271
