dataset,fold,trial_id,base_seed,random_state,n_estimators,max_depth,n_features,n_train_samples,fit_time_sec,train_acc,val_acc,test_acc,n_trees,total_leaves,mean_leaves_per_tree,std_leaves_per_tree,max_leaves_single_tree,mean_max_depth_per_tree,max_depth_any_tree,n_distinct_split_features,split_feature_entropy_bits
magic,0,0,42,42,10,3,10,9363,0.021531776999999863,0.8011321157748584,0.7920718025430067,0.7918535127055306,10,80,8.0,0.0,8,3.0,3,8,2.5527869503349607
magic,0,0,42,42,10,4,10,9363,0.035337442000002994,0.8174730321478159,0.8017950635751683,0.8023168908819133,10,159,15.9,0.3,16,4.0,4,7,2.594245301045821
magic,0,0,42,42,10,5,10,9363,0.03432960900000026,0.841503791519812,0.8227374719521316,0.8187593423019432,10,313,31.3,0.9,32,5.0,5,9,2.8293286142189986
magic,0,0,42,42,20,3,10,9363,0.03218626700000016,0.8179002456477624,0.8055347793567689,0.8056801195814649,20,160,8.0,0.0,8,3.0,3,8,2.6282509927993063
magic,0,0,42,42,20,4,10,9363,0.03909872999999919,0.8389405105201324,0.8279730740463724,0.819880418535127,20,317,15.85,0.3570714214271425,16,4.0,4,10,2.8475804495151578
magic,0,0,42,42,20,5,10,9363,0.10378273999999976,0.8562426572679697,0.8347045624532535,0.8322122571001495,20,626,31.3,0.9539392014169457,32,5.0,5,10,2.9471762662382166
magic,0,0,42,42,40,3,10,9363,0.13451628199999988,0.841183381394852,0.8272251308900523,0.8213751868460388,40,319,7.975,0.15612494995995996,8,3.0,3,9,2.773040633203409
magic,0,0,42,42,40,4,10,9363,0.09746989399999961,0.8623304496422087,0.8504113687359761,0.8389387144992526,40,630,15.75,0.48733971724044817,16,4.0,4,10,2.9674634789310415
magic,0,0,42,42,40,5,10,9363,0.1414911520000004,0.8746128377656734,0.8481675392670157,0.8426756352765321,40,1179,29.475,2.8808635858020075,32,5.0,5,10,3.055517792506143
magic,0,0,42,42,60,3,10,9363,0.17365600099999767,0.8510092918936238,0.8347045624532535,0.8355754857997011,60,476,7.933333333333334,0.24944382578492938,8,3.0,3,10,2.8422202786326025
magic,0,0,42,42,60,4,10,9363,0.15597044300000107,0.8722631635159671,0.8519072550486163,0.8460388639760837,60,921,15.35,1.2626031311012447,16,4.0,4,10,3.0565110519053853
magic,0,0,42,42,60,5,10,9363,0.30056113299999865,0.8842251415144718,0.856394913986537,0.8497757847533632,60,1664,27.733333333333334,4.166799997866735,32,5.0,5,10,3.1293007405321625
magic,0,0,42,42,80,3,10,9363,0.12162004400000015,0.8596603652675424,0.8429319371727748,0.844170403587444,80,631,7.8875,0.3159806164941134,8,3.0,3,10,2.9377300388466265
magic,0,0,42,42,80,4,10,9363,0.14380560400000064,0.8779237423902595,0.8481675392670157,0.851270553064275,80,1190,14.875,1.7633419974582356,16,4.0,4,10,3.082523091758754
