model,dataset,_agg_trial,train_acc,val_acc,test_acc,elapsed_time,generalization_gap
CART,avila,103,0.6580994,0.651749,0.6512696,0.054578400000000006,0.0075697999999999824
ShapeCART,avila,40_6,0.830645,0.8247246,0.8194060000000001,1.2798536,0.011239000000000022
CART,bank,39,0.9939584,0.9839414,0.978909,0.002571,0.015049400000000013
FBT,bank,5,0.9958334000000001,0.9897812,0.9803637999999999,10.334276,0.015469599999999995
ShapeCART,bank,49_6,0.9949999999999999,0.9854011999999999,0.9861822,0.4109066,0.009863400000000012
ShapeFBT,bank,77,0.9895832,0.9824818000000001,0.9774544000000001,9.928438400000001,0.012128800000000006
XGBoost,bank,152,1.0,0.9970804,0.9963637999999999,0.6628616,0.0036362000000000005
CART,bean,163,0.9115987999999999,0.9041880000000001,0.9024606000000001,0.125664,0.009138199999999985
ShapeCART,bean,49_6,0.9179174,0.9041880000000001,0.901726,1.8882074,0.016191399999999988
CART,bidding,148,0.9964282000000001,0.9952532,0.9958892,0.0050542,0.0010394000000000015
FBT,bidding,105,0.9796112000000001,0.9816454,0.9784979999999999,75.00548280000001,0.003922800000000027
ShapeCART,bidding,79_6,0.9981016,0.9974684,0.997628,0.8208552000000001,0.00047360000000002956
ShapeFBT,bidding,82,0.9807868,0.9816452,0.9770752,35.553789800000004,0.004256000000000015
XGBoost,bidding,21,0.9991863999999999,0.997785,0.9968378,5.1851912,0.002348600000000012
CART,eye-state,148,0.7538813999999999,0.7335114,0.7305740000000001,0.039119,0.023307399999999957
FBT,eye-state,80,0.7615293999999999,0.7459279999999999,0.7363147999999999,874.4370556,0.025214599999999976
ShapeCART,eye-state,79_6,0.7808886,0.7539386,0.7481308,1.4424556000000002,0.03275779999999999
ShapeFBT,eye-state,104,0.7689872,0.7461949999999999,0.7394527999999999,674.446089,0.029534400000000027
XGBoost,eye-state,141,0.999962,0.9392524,0.9351134,1.1293234,0.06484859999999999
CART,fault,103,0.736377,0.6876288,0.6894602,0.0173168,0.04691679999999998
ShapeCART,fault,49_6,0.774374,0.7082472,0.6976864,1.7171168,0.0766876
CART,htru,173,0.9806034,0.9800000000000001,0.9777094,0.06262,0.002894000000000019
FBT,htru,22,0.9814814000000001,0.9804470000000001,0.9779888,262.2899382,0.003492600000000001
ShapeCART,htru,13_5,0.9815773999999999,0.979218,0.9779329999999999,0.628204,0.00364439999999997
ShapeFBT,htru,104,0.9789912000000001,0.9796647999999999,0.9780447999999999,187.6072004,0.0013176000000000077
XGBoost,htru,129,0.9849294000000001,0.9814526000000001,0.9795529999999999,0.8819994,0.005376400000000036
CART,magic,126,0.8305458,0.8053851999999999,0.8132286000000001,0.0586144,0.017317199999999987
FBT,magic,196,0.822194,0.805086,0.8108371999999999,162.689793,0.01227720000000001
ShapeCART,magic,180_6,0.8442382,0.8056844,0.8126308,1.5048464000000001,0.031607399999999994
ShapeFBT,magic,64,0.8279826,0.8097234,0.8112107999999999,604.4483528,0.016771800000000024
XGBoost,magic,62,0.9468119999999999,0.860733,0.8643498,0.8632774,0.08246219999999997
CART,occupancy,1,0.9893544000000001,0.9890076000000001,0.9894482,0.011848599999999999,0.0010205999999999937
FBT,occupancy,104,0.9911472,0.9898832000000001,0.9903234,129.2395626,0.0017985999999999835
ShapeCART,occupancy,79_6,0.9938572000000001,0.9905642,0.992074,0.5781264,0.0019092000000000108
ShapeFBT,occupancy,98,0.9914252000000001,0.9896888,0.9912471999999999,72.2510214,0.0015831999999999847
XGBoost,occupancy,152,0.9968730000000001,0.9918288000000001,0.9936297999999999,1.0953956,0.003243200000000046
CART,page,153,0.9734272,0.9736748000000001,0.9693149999999999,0.0099378,0.007143399999999978
ShapeCART,page,74_6,0.972592,0.9700184000000001,0.9605482000000001,1.1226426,0.012043800000000004
CART,raisin,129,0.8723810000000001,0.8755554,0.857778,0.002475,0.019047400000000003
FBT,raisin,1,0.8752380000000001,0.8844445999999999,0.85,19.3377172,0.029999600000000015
ShapeCART,raisin,141_6,0.875873,0.8755554,0.8444444000000001,0.49961679999999997,0.03142860000000003
ShapeFBT,raisin,142,0.867619,0.8800000000000001,0.8588888000000001,2.5711014,0.018889
XGBoost,raisin,82,0.9349206000000001,0.8844443999999999,0.8655556000000001,0.4778684,0.06936500000000004
CART,rice,1,0.929059,0.9238848000000001,0.9280842,0.005116,0.004199600000000037
FBT,rice,101,0.9307088,0.929134,0.9312336,5.14266,0.0029247999999999497
ShapeCART,rice,52_4,0.9330332,0.9254595999999999,0.9272966,0.476233,0.007086600000000031
ShapeFBT,rice,45,0.9328082,0.9286087999999999,0.9314959999999999,22.015415400000002,0.002362199999999959
XGBoost,rice,107,0.9392576,0.9328085999999999,0.9299212000000001,0.8791952000000001,0.0093364
CART,room,148,0.9957969999999999,0.9956566,0.9939781999999999,0.010524,0.0024116000000000025
ShapeCART,room,167_6,0.996897,0.9962488,0.9938796,0.9097542000000001,0.0030174000000000147
CART,segment,49,0.9497836,0.9359308000000001,0.9311684,0.0092088,0.018615199999999988
ShapeCART,segment,167_6,0.9594312,0.9341991999999999,0.9285712,1.1089996,0.030860000000000044
CART,skin,103,0.934064,0.9330942,0.9333876,0.0162966,0.0011423999999999879
FBT,skin,104,0.919744,0.9193992,0.9191504,1551.26423,0.0010199999999999988
ShapeCART,skin,100_5,0.934064,0.9330942,0.9333876,0.42784959999999994,0.0011423999999999879
ShapeFBT,skin,28,0.934064,0.9330942,0.9333876,482.75503259999994,0.0011423999999999879
XGBoost,skin,10,0.934064,0.9330942,0.9333876,13.262803,0.0011423999999999879
CART,wilt,126,0.9890760000000001,0.9809916,0.9820247999999999,0.009491,0.007051199999999991
FBT,wilt,5,0.9839383999999999,0.9776859999999999,0.9756199999999999,35.152552,0.008318399999999993
ShapeCART,wilt,49_6,0.9920286,0.981405,0.9791323999999999,0.4871674,0.012896200000000002
ShapeFBT,wilt,152,0.9767937999999999,0.9710744,0.9708676,61.79250879999999,0.00592619999999997
XGBoost,wilt,127,0.9925598000000001,0.9871898,0.9822314000000001,0.4566852,0.010328399999999993
