model,dataset,_agg_trial,train_acc,val_acc,test_acc,elapsed_time,generalization_gap
CART,avila,103,0.0043869008194852436,0.012316077256984064,0.009670566829302191,0.001209147137448541,0.005986987239004289
ShapeCART,avila,40_6,0.02797179600061462,0.02926845884736673,0.02810314480623121,0.312117755876368,0.006778703305205187
CART,bank,39,0.0020036771945600358,0.010826537364273005,0.005975348818269892,0.00041209100936564965,0.005360430980807394
FBT,bank,5,0.006206249656596175,0.011069910171270587,0.01167051522855782,0.5077261233155131,0.007936163890696813
ShapeCART,bank,49_6,0.0013581032729508345,0.005161525956536471,0.006504973305095131,0.08725056275348601,0.005439680440981787
ShapeFBT,bank,77,0.0058464287560869195,0.013259814919522838,0.011894782524283448,0.9549147493888127,0.009509675846210507
XGBoost,bank,152,0.0,0.003997826947230253,0.006298169750014714,0.35943392598195295,0.006298169750014695
CART,bean,163,0.0010427198569126792,0.004365357660032004,0.00545698513833416,0.009355484621333093,0.006250475877883202
ShapeCART,bean,49_6,0.0021056675426097066,0.006766542211499163,0.007866153666182754,0.25297672340217386,0.009309102523874143
CART,bidding,148,0.0008053975415904585,0.004876862587770925,0.0017137401203216004,0.0004886775010167747,0.0013658326398208374
FBT,bidding,105,0.01074301197057882,0.010649469953946073,0.013018052177649323,3.438671857657352,0.0016319557898423717
ShapeCART,bidding,79_6,0.00025767964607244074,0.0032809631665107193,0.0,0.6243175803248696,0.00025767964607241944
ShapeFBT,bidding,82,0.010666952901367837,0.008417396372988483,0.01213116693480063,5.198870524601927,0.002959925674742489
XGBoost,bidding,21,0.00025767964607242676,0.002399650391202869,0.0021647821368442526,9.925633717726274,0.002159508809891704
CART,eye-state,148,0.008385394880385807,0.003875312800278216,0.010653151834081772,0.004377245366666118,0.007165746876634741
FBT,eye-state,80,0.009055130219936083,0.012341710882207535,0.013996885196357096,67.71852381656093,0.008463900832358574
ShapeCART,eye-state,79_6,0.006637575784878079,0.0053737931017112635,0.010316239973944027,0.48390368457659005,0.005129075033570896
ShapeFBT,eye-state,104,0.005980396241052951,0.01594764396392152,0.006615060899190557,79.7838194289773,0.0020733186682225305
XGBoost,eye-state,141,5.2033642962966805e-05,0.00479052719437017,0.004271787131868855,0.4059669555441674,0.004290251134840481
CART,fault,103,0.01752697091627646,0.06371781920860127,0.013283333964031785,0.0020921246855768417,0.01809625913552306
ShapeCART,fault,49_6,0.01803462878741892,0.045611936208628544,0.022009183839933718,0.2682144321167301,0.024853595027681568
CART,htru,173,0.0006749535539576139,0.0038987389627929713,0.0025860202628749493,0.003637650134358713,0.003120963553135425
FBT,htru,22,0.0011073602846408933,0.003768548593291618,0.002176229698354446,38.389926758078694,0.002416530115682363
ShapeCART,htru,13_5,0.0010580310959513442,0.0028596722714324843,0.0016286792194904057,0.034618747038273896,0.0023045937386012142
ShapeFBT,htru,104,0.000427515145930552,0.004001297439581313,0.00183804670778518,23.57249431993292,0.0018220969513173782
XGBoost,htru,129,0.000979892238973248,0.004298445509716215,0.0028240791419505166,0.5519632886372969,0.0035372072741076655
CART,magic,126,0.0028072477090559703,0.004437591937075804,0.009302580921443246,0.004481854225652594,0.008680347441203067
FBT,magic,196,0.00424583413477259,0.008083554849198486,0.005934525608673433,6.588030588871652,0.007530213987663302
ShapeCART,magic,180_6,0.004314897878281692,0.006842848515055677,0.011667137982384591,0.5565220117841703,0.012454640633113438
ShapeFBT,magic,64,0.004403948035569895,0.004748009930486691,0.004533628149727353,35.785197856232045,0.007775044610804492
XGBoost,magic,62,0.001961918831144692,0.008632333491009211,0.004726755250697916,0.2899222745052542,0.0040564951867345074
