model,trial_id,fold,dataset,random_seed,base_seed,train_acc,val_acc,test_acc,elapsed_time,file_path,generalization_gap,_agg_trial,hyperparameters,max_depth,actual_depth,n_leaves,failed,model_clean
XGBoost,168,3,skin,210,42,0.933537,0.933037,0.934465,0.880859,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_168_3.json,0.0009280000000000399,168,"{""colsample_bytree"": 0.75, ""gamma"": 0.5, ""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
ShapeFBT,33,4,skin,75,42,0.890066,0.886599,0.887885,139.540107,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_33_4.json,0.0021809999999999885,33,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 2, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 3, ""xgb_n_estimators"": 250}",,,,,
ShapeFBT,191,0,skin,233,42,0.871639,0.870889,0.87195,153.026057,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_191_0.json,0.0003109999999999502,191,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 5, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 5, ""min_samples_split"": 10, ""outer_tree_max_depth"": 4, ""xgb_learning_rate"": 0.01, ""xgb_max_depth"": 2, ""xgb_n_estimators"": 50}",,,,,
ShapeFBT,1,1,skin,43,42,0.893365,0.893332,0.895148,692.081094,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_1_1.json,0.00178300000000009,1,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 250}",,,,,
XGBoost,161,0,skin,203,42,0.927696,0.927528,0.925488,0.707167,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_161_0.json,0.0022079999999999878,161,"{""colsample_bytree"": 0.5, ""gamma"": 0.0, ""learning_rate"": 0.3, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",,,,,
ShapeFBT,198,3,skin,240,42,0.88795,0.889986,0.888313,748.226398,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_198_3.json,0.0003630000000000022,198,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 4, ""k"": 2, ""max_number_of_conjunctions"": 100, ""min_forest_size"": 2, ""min_samples_split"": 10, ""outer_tree_max_depth"": 2, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
XGBoost,133,2,skin,175,42,0.933718,0.932792,0.933955,0.730285,all_results/xgb_shapefbt_results/skin/xgb_results_trial_skin_133_2.json,0.0002369999999999317,133,"{""colsample_bytree"": 0.75, ""gamma"": 0.0, ""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 250, ""subsample"": 0.8}",,,,,
ShapeFBT,8,2,skin,50,42,0.576755,0.577899,0.578736,886.689549,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_8_2.json,0.0019810000000000105,8,"{""inner_tree_criterion"": ""gini"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 20, ""outer_tree_max_depth"": 6, ""xgb_learning_rate"": 0.2, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,182,4,skin,224,42,0.916789,0.912919,0.913429,726.104127,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_182_4.json,0.0033599999999999186,182,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 3, ""k"": 2, ""max_number_of_conjunctions"": 500, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 3, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 4, ""xgb_n_estimators"": 500}",,,,,
ShapeFBT,20,0,skin,62,42,0.578784,0.57794,0.577654,863.948506,all_results/xgb_shapefbt_results/skin/shapefbt_results_trial_skin_20_0.json,0.0011299999999999644,20,"{""inner_tree_criterion"": ""entropy"", ""inner_tree_max_depth"": 6, ""k"": 2, ""max_number_of_conjunctions"": 1000, ""min_forest_size"": 1, ""min_samples_split"": 5, ""outer_tree_max_depth"": 5, ""xgb_learning_rate"": 0.1, ""xgb_max_depth"": 5, ""xgb_n_estimators"": 100}",,,,,
