base_seed,dataset,elapsed_time,fold,max_depth,model,random_seed,test_acc,train_acc,trial_id,trial_id_agg,val_acc,hyperparameters
42,avila,0.162985,0,2,ShapeCART,142,0.526833,0.530946,100,100_2,0.536655,"{""criterion"":""gini"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":17,""min_samples_split"":2}"
42,avila,0.155926,1,2,ShapeCART,142,0.542405,0.526564,100,100_2,0.507427,"{""criterion"":""gini"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":17,""min_samples_split"":2}"
42,avila,0.139696,2,2,ShapeCART,142,0.519406,0.531220,100,100_2,0.542405,"{""criterion"":""gini"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":17,""min_samples_split"":2}"
42,avila,0.153904,3,2,ShapeCART,142,0.530426,0.531699,100,100_2,0.524197,"{""criterion"":""gini"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":17,""min_samples_split"":2}"
42,avila,0.138874,4,2,ShapeCART,142,0.542885,0.530056,100,100_2,0.519885,"{""criterion"":""gini"",""inner_max_leaf_nodes"":32,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":17,""min_samples_split"":2}"
42,avila,0.178388,0,2,ShapeCART,143,0.548874,0.547926,101,101_2,0.559176,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":8,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":22,""min_samples_split"":8}"
42,avila,0.149570,1,2,ShapeCART,143,0.558218,0.545324,101,101_2,0.511739,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":8,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":22,""min_samples_split"":8}"
42,avila,0.183136,2,2,ShapeCART,143,0.547916,0.557853,101,101_2,0.560613,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":8,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":22,""min_samples_split"":8}"
42,avila,0.170180,3,2,ShapeCART,143,0.554863,0.557237,101,101_2,0.551030,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":8,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":22,""min_samples_split"":8}"
42,avila,0.174273,4,2,ShapeCART,143,0.563249,0.554293,101,101_2,0.554863,"{""criterion"":""entropy"",""inner_max_leaf_nodes"":8,""inner_min_samples_leaf"":0.001,""max_depth"":2,""min_impurity_decrease"":0.01,""min_samples_leaf"":22,""min_samples_split"":8}"
42,avila,0.153193,0,2,ShapeCART,144,0.524197,0.530330,102,102_2,0.534739,"{""criterion"":""gini"",""inner_max_leaf_nodes"":64,""inner_min_samples_leaf"":0.0001,""max_depth"":2,""min_impurity_decrease"":0.0,""min_samples_leaf"":11,""min_samples_split"":16}"
